replicate,mc_seed,baseline_revenue,optimized_revenue,diff
0,1000000,1030251.3003,1046740.1255,16488.8252
1,1000001,1029829.6858,1046342.3290,16512.6433
2,1000002,1028655.3877,1045182.3841,16526.9964
3,1000003,1026160.8872,1042632.0166,16471.1294
4,1000004,1027609.5291,1044106.6713,16497.1422
5,1000005,1026960.4493,1043445.9488,16485.4994
6,1000006,1029037.9274,1045501.9750,16464.0477
7,1000007,1029353.4805,1045860.6053,16507.1248
8,1000008,1031743.2567,1048225.3719,16482.1152
9,1000009,1031577.8318,1048059.2452,16481.4133
10,1000010,1030826.4140,1047336.9441,16510.5301
11,1000011,1030820.4158,1047301.9027,16481.4870
12,1000012,1025577.5806,1042021.0312,16443.4506
13,1000013,1032616.0743,1049143.8668,16527.7924
14,1000014,1028007.2935,1044462.2134,16454.9199
15,1000015,1026914.6226,1043330.0724,16415.4498
16,1000016,1028950.6087,1045399.8917,16449.2830
17,1000017,1031942.7357,1048430.3450,16487.6094
18,1000018,1031085.6288,1047528.3112,16442.6824
19,1000019,1029896.2402,1046404.7638,16508.5236
20,1000020,1030522.7061,1046992.8464,16470.1402
21,1000021,1029935.2785,1046439.2058,16503.9272
22,1000022,1031880.2991,1048332.5340,16452.2349
23,1000023,1027341.8705,1043765.3884,16423.5179
24,1000024,1027873.9960,1044374.2923,16500.2963
25,1000025,1026574.0949,1043076.7886,16502.6937
26,1000026,1027544.5125,1044012.0312,16467.5186
27,1000027,1030310.6289,1046793.8309,16483.2020
28,1000028,1031936.5005,1048454.0334,16517.5329
29,1000029,1027375.2763,1043845.5640,16470.2877
